ID_Presupuesto,Fecha,Tipologia,Linea,Revestimiento,Sistema_Construccion,Superficie_m2,Distancia_km,Costo_Final
52,2025-03-26,minimalista,Econmica,Plástico,Steel Frame,nan,21.0,117230.66
275,22/12/2025,Americana,Econmica,Plástico,Wood Frame,96.0,100.0,150344.65
131,2025-08-11,PREMIUM,Econmica,Plástico,Wood Frame,nan,97.0,
35,2025-09-13,Minimalista,Stndar,Madera,Wood Frame,44.0,196.0,121578.24
325,2025-02-17,minimalista,Stndar,Plástico,Steel Frame,107.0,25.0,91223.08
353,2025-06-25,americana,Econmica,Ladrillo,Steel Frame,nan,32.0,53756.08
152,2025-09-26,CABAÑA,Preium,Piedra,Wood Frame,57.0,130.0,69350.75
361,2025-04-11,Premium,Preium,Piedra,Tradicional,82.0,49.0,146510.59
295,22/12/2025,Minimalista,Stndar,Plástico,Wood Frame,124.0,152.0,
102,2025-01-24,MINIMALISTA,Preium,Ladrillo,Tradicional,135.0,96.0,37279.07
263,2025-05-26,AMERICANA,Stndar,Plástico,Tradicional,93.0,177.0,
78,2025-06-17,Premium,Stndar,Plástico,Steel Frame,141.0,62.0,91086.7
200,2025-06-18,CABAÑA,Econmica,Ladrillo,Steel Frame,59.0,162.0,116359.67
166,2025-05-13,Americana,Econmica,Ladrillo,Tradicional,121.0,25.0,115246.44
56,2025-07-17,Premium,Econmica,Ladrillo,Steel Frame,74.0,142.0,85863.5
278,2025-01-12,minimalista,Econmica,Piedra,Tradicional,59.0,63.0,130601.23
23,2025-04-22,MINIMALISTA,Preium,Plástico,Tradicional,119.0,81.0,52456.41
311,2025-06-23,Premium,Econmica,Plástico,Wood Frame,140.0,70.0,72909.39
33,2025-05-22,Premium,Stndar,Madera,Steel Frame,87.0,102.0,143517.78
255,22/12/2025,Americana,Stndar,Ladrillo,Steel Frame,144.0,16.0,61063.81
362,2025-08-18,americana,Econmica,Ladrillo,Wood Frame,nan mt2,155.0,154416.84
285,22/12/2025,Minimalista,Econmica,Piedra,Steel Frame,127.0,195.0,38226.49
330,2025-04-13,Premium,Preium,Ladrillo,Tradicional,45.0,104.0,126701.8
61,2025-03-27,CABAÑA,Econmica,Plástico,Tradicional,73.0,54.0,144814.45
179,2025-03-17,Americana,Econmica,Ladrillo,Wood Frame,65.0,140.0,121554.52
89,2025-06-16,Premium,Stndar,Plástico,Steel Frame,74.0,161.0,99885.22
250,2025-04-23,CABAÑA,,Madera,Tradicional,71.0,192.0,99459.93
227,2025-08-15,Americana,Stndar,Madera,Steel Frame,142.0,164.0,159060.44
231,2025-08-23,Minimalista,,Plástico,Tradicional,142.0,76.0,100119.75
305,2025-07-24,minimalista,Stndar,Piedra,Tradicional,nan,183.0,42222.57
20,2025-06-24,cabaña,Econmica,,Tradicional,121.0,86.0,99449.5
109,2025-01-27,Minimalista,Econmica,Ladrillo,Steel Frame,46.0,151.0,42533.42
236,2025-07-19,PREMIUM,,Ladrillo,Wood Frame,137.0,66.0,138258.45
349,2025-04-25,premium,Stndar,Madera,Steel Frame,132.0,74.0,91797.17
350,2025-02-15,Cabaña,Stndar,Plástico,Tradicional,122.0,149.0,140544.64
257,2025-03-10,Cabaña,Stndar,Plástico,Tradicional,107.0,29.0,49545.8
178,2025-01-24,Cabaña,Econmica,Ladrillo,Tradicional,48.0,173.0,124699.72
358,2025-01-12,Premium,Stndar,Madera,Steel Frame,104.0,172.0,84309.53
351,22/12/2025,Premium,Econmica,Madera,Steel Frame,113.0,127.0,47260.32
294,2025-09-18,Minimalista,Econmica,Madera,Wood Frame,91.0,28.0,48208.09
115,2025-02-21,Cabaña,Preium,Piedra,Wood Frame,95.0,170.0,
344,2025-09-21,MINIMALISTA,Econmica,Piedra,Tradicional,74.0,129.0,135192.14
268,2025-07-24,premium,Econmica,Madera,Wood Frame,104.0,36.0,121868.89
58,2025-07-16,Americana,,Ladrillo,Steel Frame,70.0,197.0,132798.19
236,2025-07-19,PREMIUM,,Ladrillo,Wood Frame,137.0,66.0,138258.45
185,2025-04-16,Americana,Preium,Piedra,Wood Frame,132.0,80.0,69270.08
86,22/12/2025,Cabaña,Stndar,Plástico,Tradicional,100.0,19.0,92936.76
80,2025-03-10,Premium,Preium,Piedra,Steel Frame,96.0,178.0,
238,2025-01-24,Minimalista,Stndar,Madera,Tradicional,39.0,131.0,123593.09
15,2025-03-17,Premium,Stndar,Piedra,Wood Frame,51.0,111.0,35617.5
204,2025-02-15,americana,Preium,Piedra,Tradicional,50.0,158.0,118685.87
211,2025-02-15,Cabaña,Stndar,Madera,Wood Frame,76.0,178.0,105287.1
307,2025-08-16,Premium,Preium,Ladrillo,Wood Frame,133.0,109.0,157959.87
31,22/12/2025,Americana,Stndar,Madera,Steel Frame,46.0,21.0,119075.26
186,2025-07-13,Americana,Preium,Piedra,Steel Frame,37.0,125.0,
335,2025-08-18,Minimalista,Preium,Plástico,Tradicional,63.0,82.0,37399.03
318,2025-08-11,americana,Econmica,Ladrillo,Steel Frame,nan,119.0,111902.43
110,2025-04-24,Cabaña,Econmica,Ladrillo,Steel Frame,53.0,189.0,151804.5
235,22/12/2025,Premium,,Ladrillo,Tradicional,59.0,88.0,50964.19
51,22/12/2025,Cabaña,Econmica,Madera,Wood Frame,149.0,15000.0,48324.13
1,2025-04-21,CABAÑA,Preium,Plástico,Tradicional,nan,104.0,68718.7
216,2025-09-28,Americana,Stndar,Madera,Tradicional,52.0,176.0,101978.46
347,2025-08-22,Cabaña,Stndar,,Wood Frame,45.0,88.0,48717.02
39,2025-08-20,Americana,Preium,Madera,Tradicional,119.0,74.0,97146.85
262,2025-09-17,minimalista,,,Steel Frame,46.0,104.0,135740.68
282,2025-08-27,premium,Econmica,Piedra,Steel Frame,93.0,193.0,53296.75
134,2025-03-25,americana,Preium,Plástico,Steel Frame,104.0,83.0,95443.21
123,2025-09-21,Minimalista,Stndar,Plástico,Tradicional,96.0,16.0,86693.64
302,2025-08-16,Americana,Preium,Madera,Steel Frame,88.0,156.0,92475.05
370,2025-07-27,Cabaña,,Plástico,Wood Frame,130.0,84.0,147720.25
